id,service_id,application_type,key,unit,amount
2,1,individual,option1,fixed,4500
3,1,startup_msme,option1,fixed,4500
4,1,others,option1,fixed,9000
5,1,individual,nice_classes,per_class,550
6,1,startup_msme,nice_classes,per_class,550
7,1,others,nice_classes,per_class,550
8,1,individual,goods_services,fixed,650
9,1,startup_msme,goods_services,fixed,650
10,1,others,goods_services,fixed,650
11,1,individual,prior_use_yes,fixed,4500
12,1,startup_msme,prior_use_yes,fixed,4500
13,1,others,prior_use_yes,fixed,4500
14,1,individual,professional_fee,fixed,6500
15,1,startup_msme,professional_fee,fixed,6500
16,1,others,professional_fee,fixed,6500
17,2,individual,option1,fixed,4500
18,2,individual,nice_classes,per_class,550
19,2,individual,goods_services,fixed,650
20,2,individual,prior_use_yes,fixed,4500
21,2,individual,professional_fee,fixed,6500
22,2,startup_msme,option1,fixed,4500
23,2,startup_msme,nice_classes,per_class,550
24,2,startup_msme,goods_services,fixed,650
25,2,startup_msme,prior_use_yes,fixed,4500
26,2,startup_msme,professional_fee,fixed,6500
27,2,others,option1,fixed,9000
28,2,others,nice_classes,per_class,550
29,2,others,goods_services,fixed,650
30,2,others,prior_use_yes,fixed,4500
31,2,others,professional_fee,fixed,6500
32,3,individual,option1,fixed,4500
33,3,individual,nice_classes,per_class,550
34,3,individual,goods_services,fixed,650
35,3,individual,prior_use_yes,fixed,4500
36,3,individual,professional_fee,fixed,6500
37,3,startup_msme,option1,fixed,4500
38,3,startup_msme,nice_classes,per_class,550
39,3,startup_msme,goods_services,fixed,650
40,3,startup_msme,prior_use_yes,fixed,4500
41,3,startup_msme,professional_fee,fixed,6500
42,3,others,option1,fixed,9000
43,3,others,nice_classes,per_class,550
44,3,others,goods_services,fixed,650
45,3,others,prior_use_yes,fixed,4500
46,3,others,professional_fee,fixed,6500
55,4,individual,option1,fixed,4500
56,5,individual,option1,fixed,4500
57,6,individual,option1,fixed,4500
58,7,individual,option1,fixed,4500
59,8,individual,option1,fixed,4500
60,9,individual,option1,fixed,4500
61,10,individual,option1,fixed,4500
62,11,individual,option1,fixed,4500
63,12,individual,option1,fixed,4500
64,4,individual,nice_classes,per_class,550
65,5,individual,nice_classes,per_class,550
66,6,individual,nice_classes,per_class,550
67,7,individual,nice_classes,per_class,550
68,8,individual,nice_classes,per_class,550
69,9,individual,nice_classes,per_class,550
70,10,individual,nice_classes,per_class,550
71,11,individual,nice_classes,per_class,550
72,12,individual,nice_classes,per_class,550
73,4,individual,goods_services,fixed,650
74,5,individual,goods_services,fixed,650
75,6,individual,goods_services,fixed,650
76,7,individual,goods_services,fixed,650
77,8,individual,goods_services,fixed,650
78,9,individual,goods_services,fixed,650
79,10,individual,goods_services,fixed,650
80,11,individual,goods_services,fixed,650
81,12,individual,goods_services,fixed,650
82,4,individual,prior_use_yes,fixed,4500
83,5,individual,prior_use_yes,fixed,4500
84,6,individual,prior_use_yes,fixed,4500
85,7,individual,prior_use_yes,fixed,4500
86,8,individual,prior_use_yes,fixed,4500
87,9,individual,prior_use_yes,fixed,4500
88,10,individual,prior_use_yes,fixed,4500
89,11,individual,prior_use_yes,fixed,4500
90,12,individual,prior_use_yes,fixed,4500
91,4,individual,professional_fee,fixed,6500
92,5,individual,professional_fee,fixed,6500
93,6,individual,professional_fee,fixed,6500
94,7,individual,professional_fee,fixed,6500
95,8,individual,professional_fee,fixed,6500
96,9,individual,professional_fee,fixed,6500
97,10,individual,professional_fee,fixed,6500
98,11,individual,professional_fee,fixed,6500
99,12,individual,professional_fee,fixed,6500
100,4,startup_msme,option1,fixed,4500
101,5,startup_msme,option1,fixed,4500
102,6,startup_msme,option1,fixed,4500
103,7,startup_msme,option1,fixed,4500
104,8,startup_msme,option1,fixed,4500
105,9,startup_msme,option1,fixed,4500
106,10,startup_msme,option1,fixed,4500
107,11,startup_msme,option1,fixed,4500
108,12,startup_msme,option1,fixed,4500
109,4,startup_msme,nice_classes,per_class,550
110,5,startup_msme,nice_classes,per_class,550
111,6,startup_msme,nice_classes,per_class,550
112,7,startup_msme,nice_classes,per_class,550
113,8,startup_msme,nice_classes,per_class,550
114,9,startup_msme,nice_classes,per_class,550
115,10,startup_msme,nice_classes,per_class,550
116,11,startup_msme,nice_classes,per_class,550
117,12,startup_msme,nice_classes,per_class,550
118,4,startup_msme,goods_services,fixed,650
119,5,startup_msme,goods_services,fixed,650
120,6,startup_msme,goods_services,fixed,650
121,7,startup_msme,goods_services,fixed,650
122,8,startup_msme,goods_services,fixed,650
123,9,startup_msme,goods_services,fixed,650
124,10,startup_msme,goods_services,fixed,650
125,11,startup_msme,goods_services,fixed,650
126,12,startup_msme,goods_services,fixed,650
127,4,startup_msme,prior_use_yes,fixed,4500
128,5,startup_msme,prior_use_yes,fixed,4500
129,6,startup_msme,prior_use_yes,fixed,4500
130,7,startup_msme,prior_use_yes,fixed,4500
131,8,startup_msme,prior_use_yes,fixed,4500
132,9,startup_msme,prior_use_yes,fixed,4500
133,10,startup_msme,prior_use_yes,fixed,4500
134,11,startup_msme,prior_use_yes,fixed,4500
135,12,startup_msme,prior_use_yes,fixed,4500
136,4,startup_msme,professional_fee,fixed,6500
137,5,startup_msme,professional_fee,fixed,6500
138,6,startup_msme,professional_fee,fixed,6500
139,7,startup_msme,professional_fee,fixed,6500
140,8,startup_msme,professional_fee,fixed,6500
141,9,startup_msme,professional_fee,fixed,6500
142,10,startup_msme,professional_fee,fixed,6500
143,11,startup_msme,professional_fee,fixed,6500
144,12,startup_msme,professional_fee,fixed,6500
145,4,others,option1,fixed,9000
146,5,others,option1,fixed,9000
147,6,others,option1,fixed,9000
148,7,others,option1,fixed,9000
149,8,others,option1,fixed,9000
150,9,others,option1,fixed,9000
151,10,others,option1,fixed,9000
152,11,others,option1,fixed,9000
153,12,others,option1,fixed,9000
154,4,others,nice_classes,per_class,550
155,5,others,nice_classes,per_class,550
156,6,others,nice_classes,per_class,550
157,7,others,nice_classes,per_class,550
158,8,others,nice_classes,per_class,550
159,9,others,nice_classes,per_class,550
160,10,others,nice_classes,per_class,550
161,11,others,nice_classes,per_class,550
162,12,others,nice_classes,per_class,550
163,4,others,goods_services,fixed,650
164,5,others,goods_services,fixed,650
165,6,others,goods_services,fixed,650
166,7,others,goods_services,fixed,650
167,8,others,goods_services,fixed,650
168,9,others,goods_services,fixed,650
169,10,others,goods_services,fixed,650
170,11,others,goods_services,fixed,650
171,12,others,goods_services,fixed,650
172,4,others,prior_use_yes,fixed,4500
173,5,others,prior_use_yes,fixed,4500
174,6,others,prior_use_yes,fixed,4500
175,7,others,prior_use_yes,fixed,4500
176,8,others,prior_use_yes,fixed,4500
177,9,others,prior_use_yes,fixed,4500
178,10,others,prior_use_yes,fixed,4500
179,11,others,prior_use_yes,fixed,4500
180,12,others,prior_use_yes,fixed,4500
181,4,others,professional_fee,fixed,6500
182,5,others,professional_fee,fixed,6500
183,6,others,professional_fee,fixed,6500
184,7,others,professional_fee,fixed,6500
185,8,others,professional_fee,fixed,6500
186,9,others,professional_fee,fixed,6500
187,10,others,professional_fee,fixed,6500
188,11,others,professional_fee,fixed,6500
189,12,others,professional_fee,fixed,6500
